"","date","revenue"
"89",2017-01-18,21000
"90",2017-01-18,22750
"91",2017-01-02,8500
"92",2017-01-02,1000
"93",2017-01-02,52000
"94",2017-01-21,38250
"95",2017-01-21,38000
"96",2017-01-21,32000
"97",2017-01-21,29500
"98",2017-01-21,28750
"99",2017-01-21,28500
"100",2017-01-21,25000
"101",2017-01-21,17250
"102",2017-01-21,10000
"103",2017-01-21,4500
"104",2017-01-21,1000
"105",2017-01-21,250
"106",2017-01-21,38500
"107",2017-01-26,44750
"108",2017-01-26,44500
"109",2017-01-26,44250
"110",2017-01-26,43750
"111",2017-01-26,43500
"112",2017-01-26,43000
"113",2017-01-26,45000
"114",2017-01-13,18500
"115",2017-01-13,18250
"116",2017-01-13,18000
"117",2017-01-13,19500
"118",2017-01-31,22750
"119",2017-01-31,22500
"120",2017-01-31,22250
"121",2017-01-31,22000
"122",2017-01-31,21750
"123",2017-01-31,21500
"124",2017-01-31,21000
"125",2017-01-31,20750
"126",2017-01-31,20500
"127",2017-01-31,20250
"128",2017-01-31,20000
"129",2017-01-31,19750
"130",2017-01-31,19500
"131",2017-01-31,19250
"132",2017-01-31,19000
"133",2017-01-31,7000
"134",2017-01-31,23000
"135",2017-01-26,27750
"136",2017-01-26,27500
"137",2017-01-26,29250
"138",2017-01-26,27750
"139",2017-01-26,27500
"140",2017-01-26,29250
"141",2017-01-02,31000
"142",2017-01-16,5000
"143",2017-01-16,4500
"144",2017-01-16,4250
"145",2017-01-16,4000
"146",2017-01-16,3750
"147",2017-01-16,5250
"148",2017-01-13,20250
"149",2017-01-13,19750
"150",2017-01-13,19250
"151",2017-01-13,19000
"152",2017-01-13,18250
"153",2017-01-13,18000
"154",2017-01-13,13500
"155",2017-01-13,13250
"156",2017-01-13,13000
"157",2017-01-13,10000
"158",2017-01-13,20500
"159",2017-01-02,49250
"160",2017-01-02,49000
"161",2017-01-02,48750
"162",2017-01-02,48500
"163",2017-01-02,48250
"164",2017-01-02,48000
"165",2017-01-02,47000
"166",2017-01-02,30000
"167",2017-01-02,29750
"168",2017-01-02,29500
"169",2017-01-02,29250
"170",2017-01-02,29000
"171",2017-01-02,49500
"172",2017-01-11,11500
"173",2017-01-11,11000
"174",2017-01-11,10750
"175",2017-01-11,10500
"176",2017-01-11,250
"177",2017-01-11,11750
"178",2017-01-23,13250
"179",2017-01-23,13000
"180",2017-01-23,12750
"181",2017-01-23,12500
"182",2017-01-23,12000
"183",2017-01-23,11250
"184",2017-01-23,11000
"185",2017-01-23,10750
"186",2017-01-23,10000
"187",2017-01-23,8000
"188",2017-01-23,7750
"189",2017-01-23,7000
"190",2017-01-23,6250
"191",2017-01-23,6000
"192",2017-01-23,5250
"193",2017-01-23,5000
"194",2017-01-23,4750
"195",2017-01-23,4500
"196",2017-01-23,4000
"197",2017-01-23,2000
"198",2017-01-23,13500
"199",2017-01-28,2250
"200",2017-01-28,2500
"201",2017-01-28,9500
"202",2017-01-28,9250
"203",2017-01-28,9000
"204",2017-01-28,8750
"205",2017-01-28,3000
"206",2017-01-28,1500
"207",2017-01-28,1250
"208",2017-01-28,1000
"209",2017-01-28,12000
"210",2017-01-31,NA
"211",2017-01-09,6700
"212",2017-01-09,6200
"213",2017-01-09,5950
"214",2017-01-09,5450
"215",2017-01-09,5200
"216",2017-01-09,7200
"217",2017-01-06,25000
"218",2017-01-06,24750
"219",2017-01-06,24500
"220",2017-01-06,24250
"221",2017-01-06,24000
"222",2017-01-06,23250
"223",2017-01-06,23000
"224",2017-01-06,22750
"225",2017-01-06,22500
"226",2017-01-06,22250
"227",2017-01-06,22000
"228",2017-01-06,25250
"229",2017-01-18,28500
"230",2017-01-18,28000
"231",2017-01-18,27750
"232",2017-01-18,27500
"233",2017-01-18,27250
"234",2017-01-18,26250
"235",2017-01-18,26000
"236",2017-01-18,25500
"237",2017-01-18,25250
"238",2017-01-18,25000
"239",2017-01-18,24250
"240",2017-01-18,24000
"241",2017-01-18,23750
"242",2017-01-18,23500
"243",2017-01-18,23250
"244",2017-01-18,22750
"245",2017-01-18,18750
"246",2017-01-18,18000
"247",2017-01-18,17750
"248",2017-01-18,17000
"249",2017-01-18,28750
"250",2017-01-02,65750
"251",2017-01-02,65500
"252",2017-01-02,65250
"253",2017-01-02,65000
"254",2017-01-02,63500
"255",2017-01-02,63250
"256",2017-01-02,63000
"257",2017-01-02,60750
"258",2017-01-02,60500
"259",2017-01-02,60250
"260",2017-01-02,60000
"261",2017-01-02,57250
"262",2017-01-02,57000
"263",2017-01-02,55750
"264",2017-01-02,55500
"265",2017-01-02,55250
"266",2017-01-02,55000
"267",2017-01-02,51000
"268",2017-01-02,50750
"269",2017-01-02,50500
"270",2017-01-02,50250
"271",2017-01-02,50000
"272",2017-01-02,1000
"273",2017-01-02,66000
"274",2017-01-02,49500
"275",2017-01-02,48000
"276",2017-01-02,44000
"277",2017-01-02,43000
"278",2017-01-02,1250
"279",2017-01-02,1000
"280",2017-01-02,49750
"281",2017-01-21,45250
"282",2017-01-21,45000
"283",2017-01-21,44750
"284",2017-01-21,44500
"285",2017-01-21,44250
"286",2017-01-21,44000
"287",2017-01-21,43750
"288",2017-01-21,43500
"289",2017-01-21,43250
"290",2017-01-21,43000
"291",2017-01-21,42750
"292",2017-01-21,42500
"293",2017-01-21,40250
"294",2017-01-21,40000
"295",2017-01-21,25000
"296",2017-01-21,23500
"297",2017-01-21,22750
"298",2017-01-21,22500
"299",2017-01-21,21750
"300",2017-01-21,21500
"301",2017-01-21,20750
"302",2017-01-21,20250
"303",2017-01-21,20000
"304",2017-01-21,10750
"305",2017-01-21,10000
"306",2017-01-21,5750
"307",2017-01-21,5000
"308",2017-01-21,2500
"309",2017-01-21,2000
"310",2017-01-21,1750
"311",2017-01-21,1500
"312",2017-01-21,1250
"313",2017-01-21,500
"314",2017-01-21,250
"315",2017-01-21,45500
"316",2017-01-30,9750
"317",2017-01-30,9500
"318",2017-01-30,9250
"319",2017-01-30,9000
"320",2017-01-30,8750
"321",2017-01-30,8500
"322",2017-01-30,8250
"323",2017-01-30,8000
"324",2017-01-30,7750
"325",2017-01-30,7500
"326",2017-01-30,7250
"327",2017-01-30,10000
"328",2017-01-04,36000
"329",2017-01-04,29750
"330",2017-01-04,29500
"331",2017-01-04,29000
"332",2017-01-04,28750
"333",2017-01-04,36250
"334",2017-01-18,35950
"335",2017-01-18,34700
"336",2017-01-18,34450
"337",2017-01-18,34200
"338",2017-01-18,33950
"339",2017-01-18,33700
"340",2017-01-18,33450
"341",2017-01-18,33200
"342",2017-01-18,29000
"343",2017-01-18,28750
"344",2017-01-18,28250
"345",2017-01-18,28000
"346",2017-01-18,27250
"347",2017-01-18,27000
"348",2017-01-18,250
"349",2017-01-18,36200
"350",2017-01-26,36000
"351",2017-01-26,35250
"352",2017-01-26,35000
"353",2017-01-26,26250
"354",2017-01-26,26000
"355",2017-01-26,25750
"356",2017-01-26,36500
"357",2017-01-04,27000
"358",2017-01-04,26000
"359",2017-01-04,24000
"360",2017-01-04,23750
"361",2017-01-04,23500
"362",2017-01-04,20000
"363",2017-01-04,2000
"364",2017-01-04,1750
"365",2017-01-04,1500
"366",2017-01-04,1250
"367",2017-01-04,1000
"368",2017-01-04,27250
"369",2017-01-26,33500
"370",2017-01-26,33000
"371",2017-01-26,32750
"372",2017-01-26,32500
"373",2017-01-26,32250
"374",2017-01-26,26250
"375",2017-01-26,33750
"376",2017-01-21,57000
"377",2017-01-21,56750
"378",2017-01-21,56500
"379",2017-01-21,56250
"380",2017-01-21,56000
"381",2017-01-21,55750
"382",2017-01-21,55500
"383",2017-01-21,55250
"384",2017-01-21,55000
"385",2017-01-21,54750
"386",2017-01-21,54500
"387",2017-01-21,54250
"388",2017-01-21,54000
"389",2017-01-21,39500
"390",2017-01-21,39250
"391",2017-01-21,39000
"392",2017-01-21,38750
"393",2017-01-21,38500
"394",2017-01-21,38250
"395",2017-01-21,38000
"396",2017-01-21,37250
"397",2017-01-21,37000
"398",2017-01-21,36500
"399",2017-01-21,36250
"400",2017-01-21,36000
"401",2017-01-21,35500
"402",2017-01-21,35250
"403",2017-01-21,35000
"404",2017-01-21,32250
"405",2017-01-21,31500
"406",2017-01-21,31250
"407",2017-01-21,30500
"408",2017-01-21,30250
"409",2017-01-21,30000
"410",2017-01-21,57250
"411",2017-01-16,5000
"412",2017-01-16,4750
"413",2017-01-16,4500
"414",2017-01-16,5250
"415",2017-01-02,5000
"416",2017-01-02,46000
"417",2017-01-27,18500
"418",2017-01-27,18250
"419",2017-01-27,18000
"420",2017-01-27,250
"421",2017-01-27,20000
"422",2017-01-31,18000
"423",2017-01-31,14250
"424",2017-01-31,14000
"425",2017-01-31,13750
"426",2017-01-31,13000
"427",2017-01-31,19000
"428",2017-01-30,7000
"429",2017-01-06,26000
"430",2017-01-06,25750
"431",2017-01-06,25500
"432",2017-01-06,25250
"433",2017-01-06,25000
"434",2017-01-06,24750
"435",2017-01-06,24500
"436",2017-01-06,24250
"437",2017-01-06,24000
"438",2017-01-06,23750
"439",2017-01-06,23500
"440",2017-01-06,23250
"441",2017-01-06,23000
"442",2017-01-06,22750
"443",2017-01-06,22500
"444",2017-01-06,22250
"445",2017-01-06,22000
"446",2017-01-06,21750
"447",2017-01-06,21500
"448",2017-01-06,21250
"449",2017-01-06,21000
"450",2017-01-06,20750
"451",2017-01-06,20000
"452",2017-01-06,19000
"453",2017-01-06,18750
"454",2017-01-06,18500
"455",2017-01-06,17750
"456",2017-01-06,17500
"457",2017-01-06,17000
"458",2017-01-06,250
"459",2017-01-06,26250
"460",2017-01-11,17750
"461",2017-01-11,17500
"462",2017-01-11,17000
"463",2017-01-11,16750
"464",2017-01-11,16500
"465",2017-01-11,16250
"466",2017-01-11,16000
"467",2017-01-11,15750
"468",2017-01-11,15500
"469",2017-01-11,13500
"470",2017-01-11,13000
"471",2017-01-11,18000
"472",2017-01-09,9750
"473",2017-01-09,9500
"474",2017-01-09,9000
"475",2017-01-09,7000
"476",2017-01-09,10000
"477",2017-01-27,7750
"478",2017-01-27,7500
"479",2017-01-27,7250
"480",2017-01-27,7000
"481",2017-01-27,6750
"482",2017-01-27,6500
"483",2017-01-27,6250
"484",2017-01-27,6000
"485",2017-01-27,5750
"486",2017-01-27,5500
"487",2017-01-27,5250
"488",2017-01-27,5000
"489",2017-01-27,4750
"490",2017-01-27,4500
"491",2017-01-27,4250
"492",2017-01-27,4000
"493",2017-01-27,250
"494",2017-01-27,8500
"495",2017-01-11,11000
"496",2017-01-11,10750
"497",2017-01-11,10500
"498",2017-01-11,18000
"499",2017-01-16,5250
"500",2017-01-16,5000
"501",2017-01-16,4750
"502",2017-01-16,4500
"503",2017-01-16,4250
"504",2017-01-16,4000
"505",2017-01-16,3750
"506",2017-01-16,5500
"507",2017-01-28,6250
"508",2017-01-28,6000
"509",2017-01-28,5750
"510",2017-01-28,4000
"511",2017-01-28,3750
"512",2017-01-28,3500
"513",2017-01-28,1000
"514",2017-01-28,6500
"515",2017-01-02,45750
"516",2017-01-02,45500
"517",2017-01-02,45250
"518",2017-01-02,45000
"519",2017-01-02,1250
"520",2017-01-02,1000
"521",2017-01-02,46000
"522",2017-01-03,6000
"523",2017-01-03,32000
"524",2017-01-18,32000
"525",2017-01-18,31250
"526",2017-01-18,31000
"527",2017-01-18,30500
"528",2017-01-18,30000
"529",2017-01-18,26250
"530",2017-01-18,26000
"531",2017-01-18,24750
"532",2017-01-18,24500
"533",2017-01-18,24250
"534",2017-01-18,24000
"535",2017-01-18,13250
"536",2017-01-18,13000
"537",2017-01-18,32250
"538",2017-01-28,25750
"539",2017-01-28,25500
"540",2017-01-28,25250
"541",2017-01-28,25000
"542",2017-01-28,24750
"543",2017-01-28,24000
"544",2017-01-28,23500
"545",2017-01-28,23250
"546",2017-01-28,23000
"547",2017-01-28,16250
"548",2017-01-28,15500
"549",2017-01-28,15250
"550",2017-01-28,15000
"551",2017-01-28,1750
"552",2017-01-28,1500
"553",2017-01-28,1250
"554",2017-01-28,1000
"555",2017-01-28,750
"556",2017-01-28,26000
"557",2017-01-13,NA
"558",2017-01-02,55250
"559",2017-01-02,55000
"560",2017-01-02,54750
"561",2017-01-02,54500
"562",2017-01-02,54250
"563",2017-01-02,54000
"564",2017-01-02,53750
"565",2017-01-02,53500
"566",2017-01-02,53250
"567",2017-01-02,53000
"568",2017-01-02,52750
"569",2017-01-02,52500
"570",2017-01-02,52250
"571",2017-01-02,52000
"572",2017-01-02,51750
"573",2017-01-02,51500
"574",2017-01-02,51250
"575",2017-01-02,51000
"576",2017-01-02,50750
"577",2017-01-02,50500
"578",2017-01-02,50250
"579",2017-01-02,50000
"580",2017-01-02,49750
"581",2017-01-02,49500
"582",2017-01-02,49250
"583",2017-01-02,49000
"584",2017-01-02,48750
"585",2017-01-02,48500
"586",2017-01-02,48250
"587",2017-01-02,48000
"588",2017-01-02,47750
"589",2017-01-02,46750
"590",2017-01-02,46500
"591",2017-01-02,46250
"592",2017-01-02,46000
"593",2017-01-02,45750
"594",2017-01-02,45500
"595",2017-01-02,45250
"596",2017-01-02,45000
"597",2017-01-02,44750
"598",2017-01-02,44500
"599",2017-01-02,44250
"600",2017-01-02,44000
"601",2017-01-02,43250
"602",2017-01-02,43000
"603",2017-01-02,42750
"604",2017-01-02,42500
"605",2017-01-02,42250
"606",2017-01-02,42000
"607",2017-01-02,40500
"608",2017-01-02,40000
"609",2017-01-02,30750
"610",2017-01-02,30500
"611",2017-01-02,30250
"612",2017-01-02,30000
"613",2017-01-02,55500
"614",2017-01-23,17750
"615",2017-01-23,17500
"616",2017-01-23,17250
"617",2017-01-23,17000
"618",2017-01-23,16750
"619",2017-01-23,16500
"620",2017-01-23,16250
"621",2017-01-23,16000
"622",2017-01-23,15750
"623",2017-01-23,15500
"624",2017-01-23,15250
"625",2017-01-23,15000
"626",2017-01-23,13000
"627",2017-01-23,8500
"628",2017-01-23,8250
"629",2017-01-23,8000
"630",2017-01-23,750
"631",2017-01-23,250
"632",2017-01-23,18000
"633",2017-01-27,20000
"634",2017-01-27,19750
"635",2017-01-27,19500
"636",2017-01-27,19250
"637",2017-01-27,19000
"638",2017-01-27,18750
"639",2017-01-27,18500
"640",2017-01-27,18250
"641",2017-01-27,18000
"642",2017-01-27,250
"643",2017-01-27,20250
"644",2017-01-09,14000
"645",2017-01-09,13750
"646",2017-01-09,13500
"647",2017-01-09,13250
"648",2017-01-09,13000
"649",2017-01-09,12750
"650",2017-01-09,12500
"651",2017-01-09,12250
"652",2017-01-09,12000
"653",2017-01-09,11750
"654",2017-01-09,11500
"655",2017-01-09,11250
"656",2017-01-09,11000
"657",2017-01-09,10750
"658",2017-01-09,10500
"659",2017-01-09,10250
"660",2017-01-09,10000
"661",2017-01-09,9750
"662",2017-01-09,9500
"663",2017-01-09,9250
"664",2017-01-09,9000
"665",2017-01-09,5250
"666",2017-01-09,5000
"667",2017-01-09,14250
"668",2017-01-31,19000
"669",2017-01-31,18750
"670",2017-01-31,18500
"671",2017-01-31,15000
"672",2017-01-31,250
"673",2017-01-31,19250
"674",2017-01-13,19000
"675",2017-01-13,18750
"676",2017-01-13,18500
"677",2017-01-13,18250
"678",2017-01-13,18000
"679",2017-01-13,14750
"680",2017-01-13,14500
"681",2017-01-13,12000
"682",2017-01-13,9000
"683",2017-01-13,19250
"684",2017-01-16,6750
"685",2017-01-16,6500
"686",2017-01-16,6250
"687",2017-01-16,6000
"688",2017-01-16,5750
"689",2017-01-16,5500
"690",2017-01-16,5250
"691",2017-01-16,5000
"692",2017-01-16,4750
"693",2017-01-16,4500
"694",2017-01-16,4250
"695",2017-01-16,4000
"696",2017-01-16,3500
"697",2017-01-16,7000
"698",2017-01-28,6250
"699",2017-01-28,6000
"700",2017-01-28,5750
"701",2017-01-28,5500
"702",2017-01-28,5250
"703",2017-01-28,5000
"704",2017-01-28,4250
"705",2017-01-28,4000
"706",2017-01-28,3500
"707",2017-01-28,3250
"708",2017-01-28,3000
"709",2017-01-28,2750
"710",2017-01-28,2500
"711",2017-01-28,2250
"712",2017-01-28,2000
"713",2017-01-28,1250
"714",2017-01-28,1000
"715",2017-01-28,6500
"716",2017-01-09,16000
"717",2017-01-09,15750
"718",2017-01-09,15500
"719",2017-01-09,15250
"720",2017-01-09,15000
"721",2017-01-09,14750
"722",2017-01-09,14500
"723",2017-01-09,14250
"724",2017-01-09,14000
"725",2017-01-09,13250
"726",2017-01-09,13000
"727",2017-01-09,10000
"728",2017-01-09,5500
"729",2017-01-09,5250
"730",2017-01-09,5000
"731",2017-01-09,16250
"732",2017-01-27,17000
"733",2017-01-27,16750
"734",2017-01-27,16500
"735",2017-01-27,16250
"736",2017-01-27,16000
"737",2017-01-27,15750
"738",2017-01-27,15500
"739",2017-01-27,15250
"740",2017-01-27,15000
"741",2017-01-27,14750
"742",2017-01-27,14500
"743",2017-01-27,14250
"744",2017-01-27,14000
"745",2017-01-27,13750
"746",2017-01-27,13500
"747",2017-01-27,13250
"748",2017-01-27,13000
"749",2017-01-27,12750
"750",2017-01-27,12500
"751",2017-01-27,12250
"752",2017-01-27,12000
"753",2017-01-27,10250
"754",2017-01-27,10000
"755",2017-01-27,250
"756",2017-01-27,17250
"757",2017-01-30,17750
"758",2017-01-30,17000
"759",2017-01-30,16750
"760",2017-01-30,16500
"761",2017-01-30,15500
"762",2017-01-30,15250
"763",2017-01-30,15000
"764",2017-01-30,14750
"765",2017-01-30,14500
"766",2017-01-30,14250
"767",2017-01-30,14000
"768",2017-01-30,13750
"769",2017-01-30,13500
"770",2017-01-30,13250
"771",2017-01-30,13000
"772",2017-01-30,11000
"773",2017-01-30,10750
"774",2017-01-30,10500
"775",2017-01-30,18000
"776",2017-01-01,750
"777",2017-01-02,6000
"778",2017-01-02,22500
"779",2017-01-02,18000
"780",2017-01-02,10000
"781",2017-01-02,18500
"782",2017-01-02,5450
"783",2017-01-02,5200
"784",2017-01-02,16000
"785",2017-01-24,30000
"786",2017-01-24,28500
"787",2017-01-24,28000
"788",2017-01-24,45000
"789",2017-01-06,20500
"790",2017-01-06,20250
"791",2017-01-06,20000
"792",2017-01-06,17000
"793",2017-01-06,15000
"794",2017-01-06,20750
"795",2017-01-07,27250
"796",2017-01-07,1000
"797",2017-01-07,7000
"798",2017-01-18,26250
"799",2017-01-18,24750
"800",2017-01-18,24250
"801",2017-01-18,23250
"802",2017-01-18,22750
"803",2017-01-18,22500
"804",2017-01-18,22000
"805",2017-01-18,19250
"806",2017-01-18,19000
"807",2017-01-18,18750
"808",2017-01-18,18500
"809",2017-01-18,18000
"810",2017-01-18,16000
"811",2017-01-18,15750
"812",2017-01-18,15500
"813",2017-01-18,15250
"814",2017-01-18,15000
"815",2017-01-18,11000
"816",2017-01-18,10750
"817",2017-01-18,10500
"818",2017-01-18,10250
"819",2017-01-18,8000
"820",2017-01-18,5000
"821",2017-01-18,250
"822",2017-01-18,27250
"823",2017-01-06,31500
"824",2017-01-06,31250
"825",2017-01-06,31000
"826",2017-01-06,30250
"827",2017-01-06,30000
"828",2017-01-06,20000
"829",2017-01-06,1000
"830",2017-01-06,31750
"831",2017-01-06,29750
"832",2017-01-06,29500
"833",2017-01-06,29250
"834",2017-01-06,29000
"835",2017-01-06,22000
"836",2017-01-06,21750
"837",2017-01-06,21000
"838",2017-01-06,20500
"839",2017-01-06,20000
"840",2017-01-06,17250
"841",2017-01-06,17000
"842",2017-01-06,16000
"843",2017-01-06,15000
"844",2017-01-06,12000
"845",2017-01-06,30000
"846",2017-01-11,12000
"847",2017-01-11,6250
"848",2017-01-11,6000
"849",2017-01-11,5750
"850",2017-01-11,5500
"851",2017-01-11,5250
"852",2017-01-11,5000
"853",2017-01-11,12250
"854",2017-01-04,26250
"855",2017-01-04,26000
"856",2017-01-04,25750
"857",2017-01-04,25000
"858",2017-01-04,21750
"859",2017-01-04,21500
"860",2017-01-04,21250
"861",2017-01-04,21000
"862",2017-01-04,20500
"863",2017-01-04,20250
"864",2017-01-04,20000
"865",2017-01-04,18000
"866",2017-01-04,6000
"867",2017-01-04,5250
"868",2017-01-04,5000
"869",2017-01-04,2000
"870",2017-01-04,1500
"871",2017-01-04,1250
"872",2017-01-04,1000
"873",2017-01-04,26500
"874",2017-01-18,11000
"875",2017-01-18,25750
"876",2017-01-13,23000
"877",2017-01-13,22750
"878",2017-01-13,21750
"879",2017-01-13,21500
"880",2017-01-13,21000
"881",2017-01-13,10000
"882",2017-01-13,23500
"883",2017-01-03,28750
"884",2017-01-03,28500
"885",2017-01-03,28000
"886",2017-01-03,27750
"887",2017-01-03,27500
"888",2017-01-03,27250
"889",2017-01-03,27000
"890",2017-01-03,26000
"891",2017-01-03,25750
"892",2017-01-03,25500
"893",2017-01-03,25250
"894",2017-01-03,25000
"895",2017-01-03,10000
"896",2017-01-03,5000
"897",2017-01-03,29000
"898",2017-01-03,29500
"899",2017-01-09,13000
"900",2017-01-09,9000
"901",2017-01-09,8000
"902",2017-01-09,7750
"903",2017-01-09,7500
"904",2017-01-09,7250
"905",2017-01-09,7000
"906",2017-01-09,16500
"907",2017-01-06,25750
"908",2017-01-06,25500
"909",2017-01-06,25250
"910",2017-01-06,25000
"911",2017-01-06,26000
"912",2017-01-18,24250
"913",2017-01-18,24000
"914",2017-01-18,12000
"915",2017-01-18,32000
"916",2017-01-27,32500
"917",2017-01-27,32250
"918",2017-01-27,32000
"919",2017-01-27,31750
"920",2017-01-27,31500
"921",2017-01-27,31250
"922",2017-01-27,31000
"923",2017-01-27,30750
"924",2017-01-27,30500
"925",2017-01-27,30250
"926",2017-01-27,30000
"927",2017-01-27,29750
"928",2017-01-27,29500
"929",2017-01-27,29250
"930",2017-01-27,29000
"931",2017-01-27,28750
"932",2017-01-27,28500
"933",2017-01-27,28250
"934",2017-01-27,28000
"935",2017-01-27,20000
"936",2017-01-27,750
"937",2017-01-27,500
"938",2017-01-27,250
"939",2017-01-27,32750
"940",2017-01-11,17000
"941",2017-01-11,16750
"942",2017-01-11,16500
"943",2017-01-11,16250
"944",2017-01-11,16000
"945",2017-01-11,15750
"946",2017-01-11,15500
"947",2017-01-11,15250
"948",2017-01-11,15000
"949",2017-01-11,14750
"950",2017-01-11,14500
"951",2017-01-11,14250
"952",2017-01-11,14000
"953",2017-01-11,13750
"954",2017-01-11,13250
"955",2017-01-11,13000
"956",2017-01-11,17250
"957",2017-01-09,10000
"958",2017-01-09,9250
"959",2017-01-09,9000
"960",2017-01-09,8250
"961",2017-01-09,8000
"962",2017-01-09,7750
"963",2017-01-09,7500
"964",2017-01-09,10250
"965",2017-01-27,12000
"966",2017-01-27,11250
"967",2017-01-27,11000
"968",2017-01-27,2500
"969",2017-01-27,12250
"970",2017-01-02,22500
"971",2017-01-02,7500
"972",2017-01-02,6250
"973",2017-01-02,6000
"974",2017-01-02,4000
"975",2017-01-02,22750
"976",2017-01-05,21750
"977",2017-01-05,21500
"978",2017-01-05,21250
"979",2017-01-05,21000
"980",2017-01-05,20000
"981",2017-01-05,19000
"982",2017-01-05,18750
"983",2017-01-05,18500
"984",2017-01-05,18250
"985",2017-01-05,18000
"986",2017-01-05,22000
"987",2017-01-04,47000
"988",2017-01-04,45000
"989",2017-01-04,20000
"990",2017-01-04,19750
"991",2017-01-04,19500
"992",2017-01-04,19250
"993",2017-01-04,500
"994",2017-01-04,250
"995",2017-01-04,47250
"996",2017-01-11,19250
"997",2017-01-11,19000
"998",2017-01-11,12500
"999",2017-01-11,12250
"1000",2017-01-11,12000
"1001",2017-01-11,19500
"1002",2017-01-11,18500
"1003",2017-01-11,18000
"1004",2017-01-11,17000
"1005",2017-01-11,19500
"1006",2017-01-27,18000
"1007",2017-01-27,17250
"1008",2017-01-27,17000
"1009",2017-01-27,16750
"1010",2017-01-27,16500
"1011",2017-01-27,16250
"1012",2017-01-27,16000
"1013",2017-01-27,15750
"1014",2017-01-27,15500
"1015",2017-01-27,15250
"1016",2017-01-27,15000
"1017",2017-01-27,14750
"1018",2017-01-27,14500
"1019",2017-01-27,13750
"1020",2017-01-27,13500
"1021",2017-01-27,13000
"1022",2017-01-27,12750
"1023",2017-01-27,12500
"1024",2017-01-27,12250
"1025",2017-01-27,12000
"1026",2017-01-27,11250
"1027",2017-01-27,11000
"1028",2017-01-27,10750
"1029",2017-01-27,10500
"1030",2017-01-27,10250
"1031",2017-01-27,10000
"1032",2017-01-27,9750
"1033",2017-01-27,9500
"1034",2017-01-27,8750
"1035",2017-01-27,8500
"1036",2017-01-27,8250
"1037",2017-01-27,8000
"1038",2017-01-27,7250
"1039",2017-01-27,7000
"1040",2017-01-27,6250
"1041",2017-01-27,6000
"1042",2017-01-27,5750
"1043",2017-01-27,5250
"1044",2017-01-27,5000
"1045",2017-01-27,18250
"1046",2017-01-01,NA
"1047",2017-01-01,NA
"1048",2017-01-02,20000
"1049",2017-01-02,19750
"1050",2017-01-02,19500
"1051",2017-01-02,19250
"1052",2017-01-02,19000
"1053",2017-01-02,12250
"1054",2017-01-02,12000
"1055",2017-01-02,20250
"1056",2017-01-02,10500
"1057",2017-01-02,10000
"1058",2017-01-02,5250
"1059",2017-01-02,5000
"1060",2017-01-02,10750
"1061",2017-01-02,24750
"1062",2017-01-02,24500
"1063",2017-01-02,21000
"1064",2017-01-02,11000
"1065",2017-01-02,10250
"1066",2017-01-02,10000
"1067",2017-01-02,25000
"1068",2017-01-02,6000
"1069",2017-01-02,19000
"1070",2017-01-02,10000
"1071",2017-01-02,5000
